Thu Dec 21 11:36:55 2023    profile_results.prof

         565549 function calls (546044 primitive calls) in 24.293 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 poolmanager.py:170(__init__)
       80    0.000    0.000    0.003    0.000 serializer.py:226(<listcomp>)
       30    0.000    0.000    0.004    0.000 client.py:1025(_send_output)
      450    0.000    0.000    0.000    0.000 _collections_abc.py:802(__init__)
      120    0.000    0.000    0.000    0.000 contextlib.py:261(helper)
       60    0.000    0.000    0.038    0.001 discovery.py:1431(_set_service_methods)
       68    0.000    0.000    0.005    0.000 apifunction.py:43(__init__)
      270    0.000    0.000    0.000    0.000 client.py:1283(<genexpr>)
       60    0.000    0.000    0.000    0.000 message.py:120(__init__)
      780    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       10    0.000    0.000    0.008    0.001 indexing.py:1267(_get_listlike_indexer)
       60    0.000    0.000    0.009    0.000 feedparser.py:178(_call_parse)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       30    0.000    0.000    0.009    0.000 3512256905.py:1(maskClouds)
       30    0.000    0.000    0.000    0.000 cookiejar.py:1353(add_cookie_header)
       30    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
      240    0.000    0.000    0.000    0.000 utils.py:963(check_header_validity)
      120    0.000    0.000    0.007    0.000 genericpath.py:16(exists)
       30    0.000    0.000    0.001    0.000 connectionpool.py:966(_new_conn)
       30    0.000    0.000    0.005    0.000 model.py:124(request)
      240    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
       86    0.000    0.000    0.000    0.000 ee_string.py:21(__init__)
      120    0.000    0.000    0.000    0.000 discovery.py:802(_fix_up_media_upload)
       30    0.000    0.000    0.006    0.000 client.py:952(close)
      480    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       30    0.000    0.000    0.001    0.000 message.py:213(get_payload)
      120    0.000    0.000    0.001    0.000 parse.py:873(quote_plus)
      420    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      540    0.000    0.000    0.000    0.000 connection.py:223(<genexpr>)
   170/20    0.000    0.000    0.001    0.000 customfunction.py:157(CountNodes)
       20    0.000    0.000    0.000    0.000 generic.py:233(__init__)
       10    0.000    0.000    0.000    0.000 indexing.py:1331(_validate_read_indexer)
       10    0.000    0.000    0.002    0.000 generic.py:4860(_reindex_with_indexers)
       30    0.000    0.000    0.009    0.000 models.py:310(prepare)
       68    0.000    0.000    0.003    0.000 copy.py:200(_deepcopy_list)
       10    0.000    0.000    0.001    0.000 construction.py:463(sanitize_array)
       30    0.000    0.000    0.000    0.000 feedparser.py:197(_new_message)
       30    0.000    0.000    0.049    0.002 sessions.py:744(close)
       20    0.000    0.000    0.001    0.000 _mixins.py:188(__getitem__)
      930    0.000    0.000    0.000    0.000 parse.py:103(_noop)
       30    0.000    0.000    0.001    0.000 queue.py:34(__init__)
      180    0.000    0.000    0.001    0.000 cookiejar.py:1223(deepvalues)
       30    0.000    0.000    0.000    0.000 client.py:842(__init__)
       87    0.000    0.000    0.018    0.000 models.py:754(generate)
       40    0.000    0.000    0.000    0.000 common.py:1264(is_bool_dtype)
      540    0.000    0.000    0.000    0.000 url.py:413(ensure_type)
       90    0.000    0.000    0.001    0.000 message.py:588(get_content_maintype)
