Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 ee_list.py:23(__init__)
       30    0.000    0.000    0.001    0.000 ssl.py:324(_inet_paton)
      120    0.000    0.000    0.008    0.000 schema.py:147(prettyPrintSchema)
       10    0.000    0.000    0.007    0.001 generic.py:3634(xs)
       20    0.000    0.000    0.006    0.000 base.py:3426(get_indexer)
       20    0.000    0.000    0.022    0.001 customfunction.py:129(_resolveNamelessArgs)
       30    0.000    0.000    0.001    0.000 response.py:414(_flush_decoder)
      120    0.000    0.000    0.000    0.000 cookiejar.py:877(__init__)
      120    0.000    0.000    0.002    0.000 contextlib.py:123(__exit__)
      520    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      180    0.000    0.000    0.001    0.000 parse.py:819(quote)
       60    0.000    0.000    0.002    0.000 utils.py:803(select_proxy)
     1260    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       30    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
      540    0.000    0.000    0.000    0.000 six.py:1015(ensure_text)
       30    0.000    0.000   17.003    0.567 http.py:150(_retry_request)
       60    0.000    0.000    0.058    0.001 adapters.py:319(close)
       90    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       30    0.000    0.000    2.831    0.094 ssl.py:1302(do_handshake)
      270    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
      690    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       10    0.000    0.000    0.020    0.002 indexing.py:813(_getitem_lowerdim)
       20    0.000    0.000    0.001    0.000 inspect.py:1129(getfullargspec)
       30    0.000    0.000    4.375    0.146 connectionpool.py:1002(_validate_conn)
       30    0.000    0.000    3.073    0.102 ssl_.py:355(ssl_wrap_socket)
    20/10    0.000    0.000    0.001    0.000 geometry.py:29(__init__)
      220    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       30    0.000    0.000    0.001    0.000 model.py:164(_build_query)
       60    0.000    0.000    0.000    0.000 retry.py:225(__init__)
      120    0.000    0.000    0.002    0.000 discovery.py:843(_fix_up_method_description)
       30    0.000    0.000    0.056    0.002 poolmanager.py:173(<lambda>)
   110/60    0.000    0.000    0.049    0.001 ee_list.py:77(encode_cloud_value)
       30    0.000    0.000    0.000    0.000 ssl.py:544(set_alpn_protocols)
      180    0.000    0.000    0.000    0.000 schema.py:86(_prettyPrintByName)
       60    0.000    0.000    0.001    0.000 ssl_.py:457(is_ipaddress)
       93    0.000    0.000    0.023    0.000 models.py:754(generate)
       30    0.000    0.000    0.005    0.000 client.py:1025(_send_output)
