ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,Days_of_data_acquisition_offset
A12,Alkali Flat,2016-07-08,40.0937404,-120.3429252,16.89787466,1.647039699,3.52153968,3.341528816,0.0227225,0.0464275,0.0434025,0.2836975,0.1657775,0.0869349999999999,0.734622439620911,0.2623505200511707,0.4373154496771933,0.435790714544795,-0.1885958107059736,-0.5624278410028039,0.6386655703625919,277.58807373046875,305.9767150878906,6.110548704970113,6.53643223316629,1
A2,Alkali Flat,2016-07-08,40.09496072,-120.3445544,12.29394366,1.07403893,1.282680016,3.992258893,0.0256375,0.052615,0.0503049999999999,0.26772,0.1864299999999999,0.1029125,0.6836412231742788,0.1789937245403501,0.3946488294314382,0.3986705785275511,-0.1068162631993474,-0.5597899976991778,0.5694122881605571,277.58599853515625,305.9915771484375,5.08828280908486,5.321936189245603,1
A3,Alkali Flat,2016-07-08,40.09507086,-120.3448771,13.85880977,1.079776448,2.68779767,5.830496018,0.0292675,0.0565749999999999,0.05652,0.267995,0.185275,0.1078075,0.6516647920743263,0.1824960840117368,0.3810061733900135,0.3847261723558697,-0.1028971862927423,-0.5321480256357247,0.5442770646087446,277.5809020996094,305.9944763183594,4.736986301369864,4.741595895258314,1
A4,Alkali Flat,2016-07-08,40.0953105,-120.3446953,15.69134828,1.18157852,6.244319532,6.484964534,0.036005,0.0608374999999999,0.06334,0.2889775,0.19952,0.11306,0.6404379572402733,0.1831278563349863,0.403217880169838,0.3971011389535002,-0.1056788170300717,-0.532661820765678,0.5445318114145512,277.5841064453125,305.9952697753906,4.749989726731046,4.562322387117145,1
A6,Alkali Flat,2016-07-08,40.09508595,-120.3440463,9.86958903,0.954303892,11.15348578,3.689209232,0.0264075,0.05212,0.0512949999999999,0.29313,0.17873,0.096285,0.7021412499092692,0.2424447929470605,0.4309728007841216,0.4295852207123191,-0.1628795632889799,-0.5484513753519602,0.6096288897442923,277.5962219238281,305.9858093261719,5.624136607828089,5.714592065503463,1
A8,Alkali Flat,2016-07-08,40.09377879,-120.3434385,10.61331012,0.773036736,5.066586063,4.270035471,0.0226125,0.04596,0.04849,0.2591675,0.1759525,0.0978525,0.6847793406629124,0.1912460930318072,0.3815201043814304,0.3912750763782915,-0.1132654119483033,-0.5857826846166845,0.5736830440498273,277.5858764648437,305.9799194335937,5.63897954743255,5.344761806558052,1
A9,Alkali Flat,2016-07-08,40.09397417,-120.3436658,8.970592926,0.718835257,1.375965836,3.149222428,0.0203849999999999,0.0455474999999999,0.0468675,0.26101,0.17037,0.0926,0.6955444941575789,0.210116370717233,0.3853348112666019,0.3976020498157208,-0.1286669039823917,-0.5781027475771997,0.5915253606861954,277.5837097167969,305.9832458496094,5.73050112519897,5.569104390035739,1
F1,Big Flat,2017-08-02,40.1495622,-120.45974,15.33807677,1.084178777,5.748738617,7.314677914,0.0369124999999999,0.0663925,0.065815,0.309685,0.230925,0.126865,0.6494540612516644,0.1456872791846248,0.4270236432802041,0.417824100513992,-0.0774982027318475,-0.5533898946412504,0.5393352254934611,282.9591979980469,305.7501525878906,4.664457581805173,4.705386310111677,0
F11,Big Flat,2017-08-02,40.14825848,-120.4612667,13.05454009,0.995118219,11.67238814,6.720418624,0.036115,0.0661999999999999,0.065925,0.2923325,0.22999,0.1263425,0.6319686259185083,0.1193563363630706,0.3994430212699891,0.3956985520079929,-0.0521051472501951,-0.5529896350315677,0.5192370255575546,282.9280700683594,305.7671203613281,4.415898791540787,4.43431930223739,0
F12,Big Flat,2017-08-02,40.14845227,-120.4610242,13.75530921,0.996136717,6.967284633,7.042700678,0.0358675,0.0668874999999999,0.0645775,0.28741,0.230815,0.1273325,0.6330693561561135,0.1092093202759419,0.3962540955547947,0.3923164952537449,-0.045072494221475,-0.5506419999832047,0.5142793843093132,282.9295959472656,305.7679443359375,4.2969164642122974,4.450621346444194,0
