ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
LBSC1,Lower Bear Creek,7/19/2019,39.18634599,-120.208439,13.71192374,0.795992069,2.231804925,
LBSC2,Lower Bear Creek,7/19/2019,39.18611398,-120.20895,7.376070126,0.398764572,0.765526755,
LBSC3,Lower Bear Creek,7/19/2019,39.18654003,-120.209169,8.996407811,0.526545554,3.168103032,
LBSC4,Lower Bear Creek,7/19/2019,39.18424197,-120.210052,13.83354536,0.84450065,0.830302096,
LBSC5,Lower Bear Creek,7/19/2019,39.18405304,-120.210156,14.08568408,0.869223407,2.184695585,
LBSC6,Lower Bear Creek,7/19/2019,39.184204,-120.21036,15.05407103,0.80608201,2.838337661,
LLE3,Lower Lacey,7/20/2019,39.474604,-120.418731,9.71172803,0.919443205,3.009109014,
LLESC1,Lower Lacey,7/20/2019,39.46904697,-120.421071,10.86728281,1.028148399,7.137064823,
LLESC2,Lower Lacey,7/20/2019,39.47017903,-120.419731,13.91616058,1.312453935,7.343168181,
LLWSC1,Lower Lacey,7/20/2019,39.47227903,-120.424778,9.342796035,0.879479653,5.45879463,
LLWSC2,Lower Lacey,7/20/2019,39.47278203,-120.422937,10.59664519,0.828611939,9.839963135,
LLWSC3,Lower Lacey,7/20/2019,39.47439102,-120.418757,10.12777593,0.679659949,6.995736808,
LPC1SC,Lower Perazzo,8/13/2019,39.49437699,-120.323397,4.494553189,0.343838785,6.87796346,
LPC2SC,Lower Perazzo,8/13/2019,39.49442997,-120.323506,6.149810314,0.447320418,5.076031253,
LPC3SC,Lower Perazzo,8/13/2019,39.49450599,-120.323598,5.29915283,0.521439434,3.315319716,
LPC4SC,Lower Perazzo,8/13/2019,39.49452301,-120.323705,6.023423168,0.562344164,2.77356232,
DVG1,Davies,9/22/2016,39.504158,-120.097842,6.698083368,,0.117773347,
DVG5,Davies,9/22/2016,39.50439798,-120.099116,6.561562882,,0.066507302,
DVR3,Davies,9/22/2016,39.50389196,-120.097341,6.269515342,,0.912743438,
DVR5,Davies,9/22/2016,39.50397997,-120.098518,5.870663239,,0.692721413,
DG1,Dotta,6/29/2016,39.90285999,-120.36843,14.13677617,,4.219143043,
DG5,Dotta,6/29/2016,39.90276796,-120.368202,11.40140834,,2.630899772,
DSG5,Dotta,6/29/2016,39.90319602,-120.36797,8.209761817,,0.186688246,
KG2,Kyburz,9/16/2016,39.50670501,-120.233205,7.828920487,,1.451729697,
KG4,Kyburz,9/16/2016,39.50689604,-120.233186,7.647325851,,0.453427386,
KSG2,Kyburz,9/16/2016,39.50656202,-120.233528,9.980789039,,0.247324029,
KSG4,Kyburz,9/16/2016,39.50673896,-120.233491,11.81445665,,0.51231406,
MG1,McReynolds,6/28/2016,39.95630301,-120.496784,15.19366048,,5.112330183,
MG5,McReynolds,6/28/2016,39.95612204,-120.496686,16.69518236,,8.802866025,
MSG1,McReynolds,6/28/2016,39.95620804,-120.496047,4.981793759,,2.518892033,
MSG5,McReynolds,6/28/2016,39.956187,-120.495788,7.09431275,,2.776642124,
ZG1,Perazzo,9/16/2016,39.47856001,-120.384892,10.107264,,2.102254243,
ZG3,Perazzo,9/16/2016,39.47876201,-120.384714,10.25476069,,2.779450987,
ZR1,Perazzo,9/16/2016,39.47834903,-120.383887,5.503397201,,0.635976073,
ZR5,Perazzo,9/16/2016,39.47819003,-120.383726,12.43136994,,1.195399471,
ZSG2,Perazzo,9/16/2016,39.47850402,-120.384429,8.005272639,,0.647753408,
ZSG4,Perazzo,9/16/2016,39.47862798,-120.383954,10.20213845,,1.890262218,
UCG1,Upper Clarks,8/19/2016,40.13691097,-120.508828,9.736453948,,3.496396237,
UCG5,Upper Clarks,8/19/2016,40.13672196,-120.508761,8.566544307,,3.049983293,
UCSG2,Upper Clarks,8/19/2016,40.13715598,-120.508647,10.06810384,,4.556706875,
UCSG4,Upper Clarks,8/19/2016,40.13715598,-120.508408,10.42832544,,0.507897559,
NR2,Van Norden,8/14/2017,39.318036,-120.366214,5.375830352,,4.917037234,
NR4,Van Norden,8/14/2017,39.31784296,-120.366134,7.903479906,,3.491979737,
BO11,Bonita,10/1/2021,36.04088827,-118.333106,4.754508945,0.294754973,4.926657334,
